Geography,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,"2,723,937","2,441,392","2,238,903","139,421","177,803","202,863","210,747","168,289","309,230","411,593","418,622"
Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0
Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,0,0,0,0,0,0,0,0,0,0,0
New Brunswick,0,0,87,0,0,0,0,0,0,0,0
Quebec,0,0,270,0,0,0,0,0,0,0,0
Ontario,"4,491","5,220",0,0,0,0,"2,959","5,880","10,579",0,0
Manitoba,0,0,0,0,0,0,0,0,0,0,0
Saskatchewan,0,0,0,0,"111,455","118,712","122,560","108,815","84,658","173,946","121,817"
Alberta,0,0,0,"139,421","66,348","84,151","85,228","53,594","213,993","237,647","296,805"
British Columbia,"2,719,446","2,436,172","2,238,546",0,0,0,0,0,0,0,0
Yukon Territory,0,0,0,0,0,0,0,0,0,0,0
Northwest Territories,0,0,0,0,0,0,0,0,0,0,0
Nunavut,0,0,0,0,0,0,0,0,0,0,0
