Geography,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,"315,843","360,478","325,184","1,426,619","1,779,083","2,001,842","2,192,046","2,193,372","2,119,330","2,367,096","4,044,116"
Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0
Prince Edward Island,0,0,0,0,0,0,514,569,572,542,580
Nova Scotia,0,0,0,0,0,0,0,0,0,0,0
New Brunswick,0,0,0,0,0,0,0,0,0,0,0
Quebec,0,0,0,"1,251","1,488","1,409","1,471","1,380","1,427","9,548","13,708"
Ontario,"315,768","360,283","287,012","1,425,230","1,775,550","1,998,278","2,163,275","2,166,355","2,087,457","2,087,279","2,842,962"
Manitoba,0,0,0,0,0,0,0,4,166,171,96
Saskatchewan,0,0,0,0,0,0,0,0,339,"1,136","24,543"
Alberta,14,83,55,0,"1,787","1,866","24,937","23,041","26,239","264,189","1,154,186"
British Columbia,0,0,"38,000",0,0,0,"1,558","1,728","2,830","3,926","5,847"
Yukon Territory,0,0,0,0,0,0,0,0,0,0,"1,952"
Northwest Territories,61,112,117,138,258,289,291,295,300,305,242
Nunavut,0,0,0,0,0,0,0,0,0,0,0
