Geography,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,"27,128","14,830","15,483","12,820","18,547","5,957","19,525",920,0,0,0
Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0
Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,"27,128","14,830","15,483","12,820","18,547","5,957","19,525",920,0,0,0
New Brunswick,0,0,0,0,0,0,0,0,0,0,0
Quebec,0,0,0,0,0,0,0,0,0,0,0
Ontario,0,0,0,0,0,0,0,0,0,0,0
Manitoba,0,0,0,0,0,0,0,0,0,0,0
Saskatchewan,0,0,0,0,0,0,0,0,0,0,0
Alberta,0,0,0,0,0,0,0,0,0,0,0
British Columbia,0,0,0,0,0,0,0,0,0,0,0
Yukon Territory,0,0,0,0,0,0,0,0,0,0,0
Northwest Territories,0,0,0,0,0,0,0,0,0,0,0
Nunavut,0,0,0,0,0,0,0,0,0,0,0
