Type of electricity generation,Total all types of electricity generation 1,,,,,,,,,,,Hydraulic turbine 2,,,,,,,,,,,Tidal power turbine 3,,,,,,,,,,,Wind power turbine 4,,,,,,,,,,,Solar 5,,,,,,,,,,,Geothermal,,,,,,,,,,,Other types of electricity generation,,,,,,,,,,
Geography,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,"617,088,777","635,205,955","629,581,402","640,327,058","646,602,806","649,482,181","641,089,231","635,344,056","633,928,943","628,209,582","636,153,739","376,574,355","387,980,873","378,786,255","378,481,214","381,687,991","390,751,401","382,144,912","378,062,510","382,789,179","380,161,514","393,788,561","27,128","14,830","15,483","12,820","18,547","5,957","19,525",920,0,0,0,"11,198,373","11,033,989","12,688,899","26,696,727","30,623,786","31,198,479","33,136,646","32,546,817","35,406,835","35,649,750","36,487,682","315,843","360,478","325,184","1,426,619","1,779,083","2,001,842","2,192,046","2,193,372","2,119,330","2,367,096","4,044,116",0,0,0,0,0,0,0,0,0,0,12,"2,723,937","2,441,392","2,238,903","139,421","177,803","202,863","210,747","168,289","309,230","411,593","418,622"
Newfoundland and Labrador,"43,702,506","43,077,139","41,053,968","41,753,204","41,848,299","38,904,530","43,657,484","42,694,298","40,211,797","41,530,949","41,539,027","42,186,461","41,424,414","39,047,826","39,685,862","39,482,942","36,548,251","41,830,735","40,798,429","38,515,616","40,185,853","40,173,263",0,0,0,0,0,0,0,0,0,0,0,"195,044","191,904","176,963","172,392","189,997","186,418","205,523","181,935","178,456","157,493","161,165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince Edward Island,"482,132","507,185","619,536","615,932","603,547","615,163","648,300","652,368","662,542","606,424","494,678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"467,621","499,029","611,280","606,094","593,653","604,305","639,520","645,489","656,474","599,302","488,450",0,0,0,0,0,0,514,569,572,542,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Scotia,"11,106,058","10,769,755","10,640,910","10,220,036","9,874,593","10,075,687","10,505,227","9,994,333","9,544,474","9,275,361","8,773,655","849,981","1,003,987","1,128,686","1,008,671","802,835","849,826","938,434","1,031,868","750,265","775,893","878,069","27,128","14,830","15,483","12,820","18,547","5,957","19,525",920,0,0,0,"800,289","765,412","748,678","808,074","999,437","1,309,017","1,476,999","1,357,331","1,367,922","1,270,066","1,157,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Brunswick,"10,292,539","15,077,742","15,944,861","13,939,741","15,224,780","13,469,474","13,681,851","13,484,781","12,285,975","12,372,233","12,550,549","2,857,280","3,400,312","2,963,114","2,615,121","3,262,084","2,597,392","2,534,534","2,993,764","2,764,129","2,631,518","3,433,613",0,0,0,0,0,0,0,0,0,0,0,"732,953","737,271","785,850","792,082","766,327","781,488","824,533","888,462","896,248","763,764","617,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
Quebec,"198,918,228","205,237,192","199,880,277","202,473,624","209,314,327","214,013,955","212,977,298","212,957,997","208,494,971","214,580,515","215,524,266","191,971,730","202,530,144","197,207,367","194,366,260","197,269,248","201,632,070","199,783,076","199,553,213","195,081,639","201,598,487","203,310,181",0,0,0,0,0,0,0,0,0,0,0,"1,010,732","1,030,894","1,009,882","6,420,621","9,780,701","9,905,167","10,640,210","11,096,957","11,232,375","10,837,949","10,140,892",0,0,0,"1,251","1,488","1,409","1,471","1,380","1,427","9,548","13,708",0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0
Ontario,"153,347,852","159,465,646","157,112,627","157,911,621","157,161,469","153,159,687","156,242,229","155,306,112","152,800,993","144,725,051","149,270,829","33,887,136","37,936,088","39,199,464","35,043,755","36,512,504","40,015,853","38,281,002","38,290,150","38,999,167","35,147,861","40,061,886",0,0,0,0,0,0,0,0,0,0,0,"4,007,366","3,876,910","3,479,177","11,395,514","10,757,573","10,463,843","11,922,166","11,117,547","11,604,411","11,682,996","13,094,820","315,768","360,283","287,012","1,425,230","1,775,550","1,998,278","2,163,275","2,166,355","2,087,457","2,087,279","2,842,962",0,0,0,0,0,0,0,0,0,0,0,"4,491","5,220",0,0,0,0,"2,959","5,880","10,579",0,0
Manitoba,"33,203,585","36,346,695","35,577,154","35,946,801","37,714,253","37,076,089","31,714,813","33,938,395","37,253,694","29,099,609","37,846,980","32,185,436","35,337,165","34,494,874","34,773,941","36,599,445","35,990,529","30,732,183","32,934,890","36,165,561","27,983,809","36,737,323",0,0,0,0,0,0,0,0,0,0,0,"876,747","867,806","911,319","903,471","966,195","926,600","873,019","883,851","958,368","964,969","969,149",0,0,0,0,0,0,0,4,166,171,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saskatchewan,"21,272,278","23,293,629","23,195,775","23,419,687","24,731,036","25,374,371","24,135,457","24,157,927","24,370,710","24,764,178","23,958,124","4,240,378","4,448,811","4,706,090","3,425,611","3,284,769","3,854,753","3,591,235","3,666,114","4,423,240","2,982,414","3,304,033",0,0,0,0,0,0,0,0,0,0,0,"655,336","640,491","615,264","619,832","745,907","739,168","694,022","706,807","742,796","782,478","1,246,994",0,0,0,0,0,0,0,0,339,"1,136","24,543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111,455","118,712","122,560","108,815","84,658","173,946","121,817"
